nb_bit	taps	seed	TF coverage	num of test patterns	weights	freq of zeros
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	66.9361%	3000	0.5, 0.25	0.8, 0.2	0.509571
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0][1, 1, 0, 1, 0, 1, 0, 1, 0, 0]	63.0007%	3000	0.5, 0.75	0.5	0.499514
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0][0, 1, 1, 0, 1, 1, 1, 0, 0, 0]	67.0063%	3000	0.5, 0.75	0.9, 0.1	0.522441
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	66.5847%	3000	0.5, 0.75	0.5	0.612522
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	67.2874%	3000	0.5, 0.75	0.9, 0.1	0.522166
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0][0, 1, 0, 0, 1, 0, 0, 0, 0, 1]	63.0007%	3000	0.5, 0.125	0.5	0.499514
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0][0, 1, 0, 1, 0, 1, 1, 0, 1, 1]	66.9361%	3000	0.5, 0.125	0.9, 0.1	0.469656
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	64.7224%	3000	0.5, 0.125	0.5	0.349642
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	66.9361%	3000	0.5, 0.125	0.9, 0.1	0.469609
10	10, 9, 7, 6	[1, 0, 1, 1, 1, 1, 0, 1, 0, 1][1, 1, 0, 0, 0, 0, 0, 0, 1, 0][0, 1, 1, 1, 0, 0, 0, 1, 0, 0]	63.0007%	3000	0.25, 0.5, 0.75	0.3333333333333333	0.499514
10	10, 9, 7, 6	[0, 0, 1, 0, 1, 0, 0, 1, 1, 1][1, 1, 0, 0, 0, 0, 0, 0, 1, 0][1, 0, 1, 1, 1, 0, 1, 1, 1, 1]	66.8658%	3000	0.25, 0.5, 0.75	0.1, 0.8, 0.1	0.527496
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	66.5847%	3000	0.25, 0.5, 0.75	0.3333333333333333	0.592806
